Location,Price
Aaya Camp,1200
Accord,600
Adeogun Street Asero,3000
Agarawu,2500
Agbede,500
Alhaja Counsellor,2500
Alogi,3000
Alogi Armani,3000
Anobe Mosque,2500
Apakila,1200
Aregbe,2500
Arowo,1200
Asero,3000
Emma Doc Labuta,600
Eleweeran,2500
Fajol,3000
Fatola,1200
Fiyinfolu,1700
Foursquare Asero,3000
Gate,500
Gbagba camp,1500
Harmony,500
Idi Aba,3500
Ilupeju,1000
Inside School,700
Isolu,700
Jah Bless Harmony,600
Kenta,3500
Kinleyin,1500
Kofesu,500
Kongo,600
Kongudu Odo Eran,3000
Kotopo,1600
Labuta,700
Matt Estate Odo Eran,2500
Motef Junction Odo Eran,2500
NNPC camp,1200
Odo Eran,2500
Oke Odo Osiele,1700
Olododo Abusi,1200
Olokuta,4000
Oluwab,2500
Oluwo,700
Orange Bar Somoorin,2500
Osiele,1500
School Farm,800
School Gate,500
Somoorin,2500
Surulere,1000
Tiara Gate,500
Tirimi Ogtv Road,3500
Train Station,4000
Unity Estate Odo Eran,2500
Zoo,600
